variant,model,seed,same_target_as_baseline,churn_vs_baseline,d_common_acc,d_common_auc,d_common_ece,d_common_pred_pos_rate,d_common_sex_tpr_gap
multi_site_impute_any,rf,6,True,0.03333333333333333,-0.011111111111111072,-0.019841269841269882,-0.013420098607132211,0.011111111111111127,0.0
multi_site_impute_any,rf,7,True,0.03333333333333333,-0.033333333333333326,-0.012896825396825351,0.0221535577206253,0.011111111111111072,-0.03125
multi_site_impute_any,rf,8,True,0.022222222222222223,-0.022222222222222254,-0.015376984126984183,-0.03925610019869033,0.0222222222222222,0.0
multi_site_impute_any,rf,9,True,0.05555555555555555,-0.011111111111111183,-0.008928571428571397,0.011447866475809296,-0.033333333333333326,0.06874999999999998
multi_site_impute_any,hgb,0,True,0.12222222222222222,-0.05555555555555558,-0.05059523809523814,0.0782995138583766,-0.011111111111111127,-0.09375
multi_site_impute_any,hgb,1,True,0.12222222222222222,-0.033333333333333326,-0.02430555555555547,0.03365817883337585,0.12222222222222218,-0.13749999999999996
multi_site_impute_any,hgb,2,True,0.07777777777777778,-0.011111111111111072,-0.00793650793650802,0.008179633222262866,-0.011111111111111072,-0.03125
multi_site_impute_any,hgb,3,True,0.12222222222222222,-0.011111111111111183,0.009920634920634885,0.060337618633158424,0.033333333333333326,0.16249999999999998
multi_site_impute_any,hgb,4,True,0.05555555555555555,-0.011111111111111072,-0.029265873015872912,0.05128767991541172,0.033333333333333326,0.16249999999999998
multi_site_impute_any,hgb,5,True,0.06666666666666667,-0.0444444444444444,-0.022817460317460236,0.029033875421770758,0.04444444444444445,0.0
multi_site_impute_any,hgb,6,True,0.07777777777777778,-0.033333333333333326,-0.02777777777777768,0.03369606037123639,-0.03333333333333338,0.16874999999999996
multi_site_impute_any,hgb,7,True,0.12222222222222222,-0.011111111111111183,-0.03323412698412709,0.02027226051627179,0.033333333333333326,-0.09999999999999998
multi_site_impute_any,hgb,8,True,0.13333333333333333,-0.022222222222222254,-0.029265873015873023,0.05335221381675519,0.0888888888888889,-0.03749999999999998
multi_site_impute_any,hgb,9,True,0.13333333333333333,0.022222222222222143,0.02331349206349209,-0.02054995991103553,0.0,0.03125
multi_site_drop_any,logreg,0,True,0.044444444444444446,-0.022222222222222254,-0.005456349206349187,0.021384855094445474,-0.04444444444444445,0.16874999999999996
multi_site_drop_any,logreg,1,True,0.06666666666666667,0.022222222222222254,-0.009424603174603141,0.019054955582137822,-0.0222222222222222,0.0
multi_site_drop_any,logreg,2,True,0.03333333333333333,-0.033333333333333326,-0.010416666666666519,0.02281784887461466,-0.011111111111111127,0.06874999999999998
multi_site_drop_any,logreg,3,True,0.044444444444444446,-0.0444444444444444,-0.009424603174603252,0.0076155794751467665,0.022222222222222254,0.09999999999999998
multi_site_drop_any,logreg,4,True,0.03333333333333333,0.033333333333333326,0.004960317460317443,-0.054997371894767645,-0.011111111111111127,0.03125
multi_site_drop_any,logreg,5,True,0.044444444444444446,-0.022222222222222143,-0.012896825396825462,-0.01668227670542606,-0.04444444444444445,0.03749999999999998
multi_site_drop_any,logreg,6,True,0.022222222222222223,0.0,0.00942460317460303,0.040839249617388676,0.022222222222222254,-0.09999999999999998
