variant,outcome,mean,sd,min,max,n,cohen_d,wilcoxon_p,model
V5_hist,d_common_acc,-0.0002166666666666502,0.002432786957576103,-0.007000000000000006,0.0020000000000000018,15,-0.08906109348864855,0.4774672268173422,
V5_hist,d_common_acc,0.0005500000000000282,0.0012796483892069522,-0.0014999999999999458,0.0020000000000000018,5,,,logreg
V5_hist,d_common_acc,0.0011500000000000065,0.0007202430145443887,0.00024999999999997247,0.0017500000000000293,5,,,rf
V5_hist,d_common_acc,-0.0023499999999999853,0.0031304951684997234,-0.007000000000000006,0.0007500000000000284,5,,,hgb
V5_hist,d_common_auc,-0.00030864156157054773,0.0005865636810462984,-0.001844543582704139,0.0007448216047530876,15,-0.5261859394703747,0.05535888671875,
V5_hist,d_common_auc,-0.000504568462594257,0.00012351940820794934,-0.0005677065459848141,-0.00028418840082344854,5,,,logreg
V5_hist,d_common_auc,-0.0002222902904084112,0.00022788306256136767,-0.0004363364361702482,0.00011645692132811192,5,,,rf
V5_hist,d_common_auc,-0.0001990659317089749,0.001031842143100442,-0.001844543582704139,0.0007448216047530876,5,,,hgb
V5_hist,d_common_ece,0.0008926124502833515,0.001584755326401149,-0.0020523313819439115,0.0030956809637402403,15,0.5632493769939881,0.041259765625,
V5_hist,d_common_ece,0.00017569164831031243,0.002082234635839223,-0.0020523313819439115,0.0024666435707635694,5,,,logreg
V5_hist,d_common_ece,0.0018641059330157862,0.0011535397412541525,0.00040351273405648397,0.0030956809637402403,5,,,rf
V5_hist,d_common_ece,0.000638039769523956,0.0011047579831143049,-0.00046082445737595165,0.0022690284581886877,5,,,hgb
V5_hist,d_sex_dp_diff,0.00027884558866749973,0.00400127021938275,-0.0048880268030329355,0.006369247046376286,15,0.06968926700244589,0.8202444727582786,
V5_hist,d_sex_dp_diff,-0.0029412801974960045,0.0013854020538189011,-0.0048880268030329355,-0.0011426556162933976,5,,,logreg
V5_hist,d_sex_dp_diff,0.004487391994357259,0.0026198692207777263,0.00036677834597073633,0.006369247046376286,5,,,rf
V5_hist,d_sex_dp_diff,-0.0007095750308587556,0.0033060486829874984,-0.0041967906894727625,0.0037383177570093906,5,,,hgb
V5_hist,d_sex_tpr_gap,-0.0037495486780524463,0.013847940624760599,-0.02767199623955141,0.020914088738410386,15,-0.2707657968541635,0.244198530761502,
V5_hist,d_sex_tpr_gap,-0.007606733382836772,0.003517622361248849,-0.01228276937959405,-0.0036991368680641123,5,,,logreg
V5_hist,d_sex_tpr_gap,0.009864364981504337,0.011490770425077563,-0.0030587706330770237,0.020914088738410386,5,,,rf
V5_hist,d_sex_tpr_gap,-0.013506277632824904,0.012550091146440215,-0.02767199623955141,0.0036991368680641123,5,,,hgb
V5_hist,d_race_tpr_gap,-0.02826023391812863,0.026161054179602645,-0.08121345029239768,0.015643274853801126,15,-1.0802406403088558,0.00152587890625,
V5_hist,d_race_tpr_gap,-0.03912280701754374,0.011474326513607275,-0.04992690058479521,-0.02002923976608173,5,,,logreg
V5_hist,d_race_tpr_gap,-0.014546783625730997,0.016295678014493713,-0.04005847953216374,0.004385964912280715,5,,,rf
V5_hist,d_race_tpr_gap,-0.031111111111111155,0.040068269388954914,-0.08121345029239768,0.015643274853801126,5,,,hgb
V5_hist,churn_vs_base,0.014716666666666664,0.0067472657601501985,0.007,0.026,15,2.1811304296896497,,
V5_hist,churn_vs_base,0.00875,0.0011180339887498947,0.007,0.01,5,,,logreg
V5_hist,churn_vs_base,0.012050000000000002,0.0017624556732014566,0.01,0.01375,5,,,rf
V5_hist,churn_vs_base,0.023350000000000003,0.002902585054739998,0.019,0.026,5,,,hgb
